2016,38,13
2018,107,16
2019,63,14
2005,37,9
2015,42,9
2017.5,38,11
2017.5,38,14
2018,33,15
2010.5,23,8
2008.5,37,9
2018,53,15
2008,49,8
2019.5,49,11
2018,35,14
2016,48,14
2018.5,24,11
2018,38,15
2013.5,42,10
2008,28,12
2015.5,47,11
2010.5,29,8
2013.5,32,7
2019,90,18
2013.5,47,10
2006,22,7
2018.5,24,11
2015,31,10
2014,54,12
2019.5,79,14
2002,32,8
2006,34,10
2014,40,11
2019.5,63,13
2015.5,36,10
2008,30,8
2018.5,66,15
2019,110,17
2014.5,24,11
2008,27,10
2016,59,11
2008,32,11
2015,43,13
2005,48,11
2015.5,40,12
2005,22,6
2012,27,10
2006,25,6
2009,51,10
2008,29,4
2019.5,150,20
2007,36,26
2002,21,7
2012.5,44,9
2010,27,7
2010,28,11
2018.5,19,14
2019.5,75,14
2013.5,30,11
2010.5,45,10
2015.5,44,11
2006,43,10
2006,21,7
2007,37,27
2014,49,12
2019.5,65,13
2018,56,17
2002,33,8
2010,25,10
2017.5,44,13
2009,28,8
2013.5,41,13
2005,29,8
2012.5,22,8
2009,23,9
2019.5,40,13
2019.5,62,12
2018.5,37,13
2014,39,11
2015,30,11
2014,47,12
2014,37,10
2008.5,19,9
2015,47,14
2016,17,9
2005,30,9
2008.5,30,10
2016,38,11
2006,21,8
2008,28,9
2016,30,13
2015.5,52,10
2018,39,13
2007,29,43
2006,30,10
2011.5,37,10
2008,28,9
2010.5,18,10
2015.5,35,10
2018,43,13
2017,49,12
2012.5,31,11
2015,65,12
2008.5,12,8
